Company Name,Company URL,Tagline,Reviews,Service %,Platform %,Pricing,Employees,Founded,Company Geo,Profile URL,Company Email
SPEC INDIA,https://www.spec-india.com/?utm_source=Business%20Directory&utm_medium=Referral&utm_campaign=Goodfirms,"Enterprise Software, Mobility & BI Solutions",4.8 (26 Reviews),20%,15%,"
< $25/hr ",250 - 999,1987,"
India, United States ",N/A,N/A
instinctools,http://www.instinctools.com/,Delivering the future. Now.,4.8 (8 Reviews),5%,10%,"
$50 - $99/hr ",250 - 999,2000,"
United States, Germany ",N/A,N/A
SoluLab,https://www.solulab.com/,Blockchain | IoT | Mobility | AI | Big Data,5.0 (32 Reviews),15%,15%,"
$25 - $49/hr ",50 - 249,2014,"
United States, India ",N/A,N/A
Sigma Data Systems,https://www.sigmadatasys.com/services/data-analytics/,Discover the world of Big Data with us!,4.7 (5 Reviews),40%,10%,"
$25 - $49/hr ",250 - 999,2010,"
United States, Australia ",N/A,N/A
NeenOpal Inc.,https://www.neenopal.com/,The Hub Of Data Science Innovation,5.0 (5 Reviews),25%,10%,"
$25 - $49/hr ",10 - 49,2016,"
United States, India ",N/A,N/A
Consagous Technologies,N/A,Helping brands by being their Technology Partner,4.8 (32 Reviews),10%,20%,"
$25 - $49/hr ",50 - 249,2008,"
India, United States ",https://www.goodfirms.co/company/consagous-technologies,N/A
NEX Softsys,N/A,IT Partner for Global Clients,5.0 (12 Reviews),20%,20%,"
$25 - $49/hr ",50 - 249,2003,"
United States ",https://www.goodfirms.co/company/nex-softsys,N/A
Beyond Key,N/A,IT Consulting and Software Development Services ,5.0 (7 Reviews),20%,10%,"
$25 - $49/hr ",250 - 999,2005,"
United States, India ",https://www.goodfirms.co/company/beyond-key,N/A
Datapine,N/A,BUSINESS INTELLIGENCE MADE EASY,5.0 (3 Reviews),90%,5%,"
$50 - $99/hr ",10 - 49,2012,"
Germany ",https://www.goodfirms.co/company/datapine,N/A
Dataforest,N/A,Data Engineering and Web Product Development,5.0 (4 Reviews),30%,20%,"
$50 - $99/hr ",50 - 249,2018,"
Ukraine, Estonia ",https://www.goodfirms.co/company/dataforest,N/A
pwrteams,N/A,Scale your enterprise with cross-border teams,4.9 (7 Reviews),10%,25%,"
$25 - $49/hr ",250 - 999,2008,"
Luxembourg, Poland ",https://www.goodfirms.co/company/skelia,N/A
Intellias,N/A,Global Technology Partner,5.0 (5 Reviews),15%,5%,"
$25 - $49/hr ","1,000 - 9,999",2002,"
Ukraine, United States ",https://www.goodfirms.co/company/intellias,N/A
Altar.io,N/A,Product & Software Development Agency,5.0 (9 Reviews),25%,10%,"
$50 - $99/hr ",10 - 49,2015,"
Portugal, United Kingdom ",https://www.goodfirms.co/company/altar-io,N/A
Huspi,N/A,Transforming ideas into user-friendly software.,5.0 (6 Reviews),10%,50%,"
$50 - $99/hr ",10 - 49,2015,"
Poland, Ukraine ",https://www.goodfirms.co/company/huspi,N/A
Rudder Analytics,N/A,Steering Your Business.,4.8 (3 Reviews),90%,5%,"
$25 - $49/hr ",10 - 49,2015,"
India ",https://www.goodfirms.co/company/rudder-analytics,N/A
Fayrix,N/A,Remote software teams & services for startups. ,5.0 (8 Reviews),10%,5%,"
< $25/hr ","1,000 - 9,999",2005,"
Israel ",https://www.goodfirms.co/company/fayrix,N/A
Accubits,N/A,AI & Blockchain focused development company,4.9 (7 Reviews),10%,10%,"
$25 - $49/hr ",50 - 249,2012,"
India, United States ",https://www.goodfirms.co/company/accubits,N/A
OrbitSoft,N/A,We do software right,4.9 (3 Reviews),5%,20%,"
$25 - $49/hr ",50 - 249,2001,"
United States ",https://www.goodfirms.co/company/orbitsoft,N/A
Broscorp,N/A,Delivering software that helps businesses to grow,4.9 (4 Reviews),10%,50%,"
$25 - $49/hr ",10 - 49,2016,"
Ukraine ",https://www.goodfirms.co/company/broscorp,N/A
Clustox,N/A,The House of Innovation,5.0 (5 Reviews),10%,25%,"
< $25/hr ",10 - 49,2012,"
Pakistan ",https://www.goodfirms.co/company/clustox,N/A
VITech,N/A,Software development powerhouse,5.0 (3 Reviews),30%,25%,"
$50 - $99/hr ",50 - 249,2007,"
Ukraine ",https://www.goodfirms.co/company/vitech,N/A
GFAIVE,N/A,Demand forecasting for Fashion Retail,5.0 (2 Reviews),20%,25%,"
NA ",10 - 49,2018,"
Georgia ",https://www.goodfirms.co/company/gfaive,N/A
SPRYTE Labs,N/A,"The right team, every time",5.0 (3 Reviews),10%,10%,"
NA ","1,000 - 9,999",2019,"
United States ",https://www.goodfirms.co/company/spryte-labs,N/A
abstractR,N/A,We make Abstract ideas Real,5.0 (2 Reviews),20%,20%,"
$50 - $99/hr ",10 - 49,2018,"
Czech Republic ",https://www.goodfirms.co/company/abstractr,N/A
SetuServ,N/A,Customized AI: Machine Power + Human Accuracy,5.0 (1 Review),50%,16%,"
NA ",50 - 249,2012,"
United States, India ",https://www.goodfirms.co/company/setuserv,N/A
InData Labs,N/A,Big on Data Science and AI,5.0 (1 Review),30%,30%,"
$50 - $99/hr ",50 - 249,2014,"
Cyprus, Singapore ",https://www.goodfirms.co/company/indata-labs,N/A
Aegis Soft Tech,N/A,Software Development Expert,5.0 (2 Reviews),5%,25%,"
$25 - $49/hr ",50 - 249,2003,"
India ",https://www.goodfirms.co/company/aegis-soft-tech,N/A
AM-BITS,N/A,Time to rethink IT,5.0 (2 Reviews),20%,10%,"
$25 - $49/hr ",50 - 249,2016,"
Ukraine ",https://www.goodfirms.co/company/am-bits,N/A
ScaleupAlly,N/A,Scaleup the development of your Business Idea,4.8 (3 Reviews),30%,30%,"
$25 - $49/hr ",10 - 49,2017,"
India ",https://www.goodfirms.co/company/scaleupally,N/A
ThirdEye Data Inc.,N/A,Transforming Enterprises with AI Applications,5.0 (1 Review),20%,10%,"
$50 - $99/hr ",50 - 249,2010,"
United States ",https://www.goodfirms.co/company/thirdeye-data-inc,N/A
CodeCoda Ltd,N/A,Advanced Software Development Outsourcing,3.0 (2 Reviews),10%,15%,"
$25 - $49/hr ",50 - 249,2016,"
Bulgaria, Ireland ",https://www.goodfirms.co/company/codecoda-ltd,N/A
S-PRO,N/A,Strategic partner.,5.0 (30 Reviews),10%,25%,"
$50 - $99/hr ",50 - 249,2014,"
Poland ",https://www.goodfirms.co/company/s-pro,N/A
Welby Consulting,N/A,The Future of Digital,3.4 (5 Reviews),10%,50%,"
$100 - $149/hr ",2 - 9,2015,"
Canada ",https://www.goodfirms.co/company/welby-consulting,N/A
